date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-24,202204,0.26,GB,CNE全球特惠TT,,CNE全球特惠TT,CNE全球特惠TT,,3.266,,手环与手链,W,TIKTOK,3A6V000400153,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202204,0.158,GB,CNE华东欧电TT,,华东_GBHERMES,华东_GBHERMES,,3.2155,,自拍配件,W,TIKTOK,3A6V000402382,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202204,0.176,GB,CNE华东欧电TT,,华东_GBHERMES,华东_GBHERMES,,3.346,,男士钱包,W,TIKTOK,3A6V000402582,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202204,0.134,GB,CNE全球特惠TT,,CNE全球特惠TT,CNE全球特惠TT,,2.6864,,化妆工具,W,TIKTOK,3A6V000404532,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202204,0.174,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,2.8704,,皮带,W,TIKTOK,3A6V000401129,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.242,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,3.1832,,女士打底裤,W,TIKTOK,3A6V000407158,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.191,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,2.9486,,浴室小物件,W,TIKTOK,3A6V000409358,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.255,GB,CNE华东欧电TT,,华东_GBHERMES,华东_GBHERMES,,3.91875,,加湿器,W,TIKTOK,3A6V000400558,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.324,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,3.5604,,收纳盒,W,TIKTOK,3A6V000348942,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.107,GB,CNE全球优先TT,,优先_GBHERMES,优先_GBHERMES,,2.57525,,不插电造型工具,W,TIKTOK,3A6V000325934,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.306,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,3.4776,,衣架,W,TIKTOK,3A6V000403955,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.32,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,3.542,,收纳瓶罐,W,TIKTOK,3A6V000409754,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.157,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,2.7922,,胶水、胶带、密封条,W,TIKTOK,3A6V000406755,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.331,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,3.5926,,其他,W,TIKTOK,3A6V000405555,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.162,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,2.8152,,削皮器,W,TIKTOK,3A6V000407954,GBP,"(0.0, 0.34]",0-0.34KG
2022-01-24,202205,0.148,GB,CNE全球特惠TT,,特惠_UKTR48,特惠_UKTR48,,2.7508,,其他,W,TIKTOK,3A6V000408358,GBP,"(0.0, 0.34]",0-0.34KG
