date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-24,202204,0.51,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,64.035,,毛毯,K8,WISH,6A21582630737,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-24,202204,0.708,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,79.578,,毛毯,K8,WISH,6A21582652111,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-24,202204,0.582,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,69.687,,毛毯,K8,WISH,6A21582679262,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-24,202204,0.737,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,81.8545,,毛毯,K8,WISH,6A21582652098,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-24,202204,0.83,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,94.02,,紧身胸衣,K8,WISH,3A5V598851829,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-24,202204,0.466,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.581,,毛毯,K8,WISH,6A21582487140,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.743,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,82.3255,,毛毯,K8,WISH,6A21582630867,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,1.091,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,109.6435,,毛毯,K8,WISH,6A21582630553,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.481,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,61.7585,,毛毯,K8,WISH,6A21582630614,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.962,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,99.517,,毛毯,K8,WISH,6A21582630805,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.787,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,89.978,,塑料猫碗,K8,WISH,3A5V599254227,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.6,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.1,,坐垫,K8,WISH,6A21582577278,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.461,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.1885,,毛毯,K8,WISH,6A21582630638,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.785,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,89.79,,塑料猫碗,K8,WISH,3A5V599254383,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.612,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.042,,毛毯,K8,WISH,6A21582630799,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.782,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,89.508,,塑料猫碗,K8,WISH,3A5V599254518,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.784,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,89.696,,塑料猫碗,K8,WISH,3A5V599254244,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.482,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,61.837,,毛毯,K8,WISH,6A21582630560,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.463,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.3455,,毛毯,K8,WISH,6A21582630836,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.786,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,89.884,,塑料猫碗,K8,WISH,3A5V599254522,CNY,"(0.453, 1.1]",0.454-1.1KG
